ID,Image-ID,Name,Type
4635,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4635&type=card","Abandon Hope","Sorcery"
3011,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3011&type=card","Abbey Matron","Creature - Human Cleric (1/3)"
4563,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4563&type=card","Abeyance","Instant"
4477,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4477&type=card","Abjure","Instant"
1427,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1427&type=card","Abomination","Creature - Horror (2/6)"
4505,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4505&type=card","Aboroth","Creature - Elemental (9/9)"
2838,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2838&type=card","Abu Ja'far","Creature - Human (0/1)"
6567,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=6567&type=card","Abyssal Nightstalker","Creature - Nightstalker (2/2)"
3239,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3239&type=card","Acidic Dagger","Artifact"
2661,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2661&type=card","Adarkar Unicorn","Creature - Unicorn (2/2)"
21186,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=21186&type=card","Advance Scout","Creature - Human Soldier Scout (1/1)"
1698,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1698&type=card","Adventurers' Guildhouse","Land"
2393,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2393&type=card","Aegis of the Meek","Artifact"
1557,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1557&type=card","rathi Berserker (Aerathi Berserker)","Creature - Human Berserker (2/4)"
3374,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3374&type=card","Afiya Grove","Enchantment"
3159,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3159&type=card","Agent of Stromgald","Creature - Human Knight (1/1)"
2605,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2605&type=card","Aggression","Enchantment - Aura"
3425,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3425&type=card","Agility","Enchantment - Aura"
1513,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1513&type=card","Aisling Leprechaun","Creature - Faerie (1/1)"
3608,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3608&type=card","Aku Djinn","Creature - Djinn (5/6)"
4369,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4369&type=card","Alabaster Dragon","Creature - Dragon (4/4)"
6508,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=6508&type=card","Alaborn Grenadier","Creature - Human Soldier (2/2)"
6516,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=6516&type=card","Alaborn Veteran","Creature - Human Knight (2/2)"
6492,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=6492&type=card","Alaborn Zealot","Creature - Human Soldier (1/1)"
900,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=900&type=card","Aladdin's Lamp","Artifact"
3477,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3477&type=card","Alarum","Instant"
3426,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3426&type=card","Aleatory","Instant"
956,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=956&type=card","Ali Baba","Creature - Human Rogue (1/1)"
2985,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2985&type=card","Aliban's Tower","Instant"
4565,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4565&type=card","Alms","Enchantment"
2717,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2717&type=card","Altar of Bone","Sorcery"
2987,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2987&type=card","Ambush","Instant"
5109,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=5109&type=card","Amok","Enchantment"
2394,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2394&type=card","Amulet of Quoz","Artifact"
3241,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3241&type=card","Amulet of Unmaking","Artifact"
4478,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4478&type=card","Ancestral Knowledge","Enchantment"
4801,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4801&type=card","Ancient Runes","Enchantment"
2960,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2960&type=card","An-Havva Constable","Creature - Human (2/1+*)"
2961,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2961&type=card","An-Havva Inn","Sorcery"
3035,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3035&type=card","An-Havva Township","Land"
1471,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1471&type=card","Anti-Magic Aura","Enchantment - Aura"
3589,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3589&type=card","Anvil of Bogardan","Artifact"
4479,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4479&type=card","Apathy","Enchantment - Aura"
4748,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4748&type=card","Apes of Rath","Creature - Ape (5/4)"
4802,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4802&type=card","Apocalypse","Sorcery"
2900,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2900&type=card","Apocalypse Chime","Artifact"
6535,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=6535&type=card","Apprentice Sorcerer","Creature - Human Wizard (1/1)"
2662,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2662&type=card","Arctic Foxes","Creature - Fox (1/1)"
4506,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4506&type=card","Arctic Wolves","Creature - Wolf (4/5)"
2395,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2395&type=card","Arcum's Sleigh","Artifact"
2396,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2396&type=card","Arcum's Weathervane","Artifact"
2397,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2397&type=card","Arcum's Whistle","Artifact"
2663,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2663&type=card","Arenson's Aura","Enchantment"
4568,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4568&type=card","Argivian Find","Instant"
21182,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=21182&type=card","Argothian Elder","Creature - Elf Druid (2/2)"
6537,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=6537&type=card","Armored Galleon","Creature - Human Pirate (5/4)"
3427,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3427&type=card","Armorer Guildmage","Creature - Human Wizard (1/1)"
3733,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3733&type=card","Army Ants","Creature - Insect (1/1)"
969,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=969&type=card","Army of Allah","Instant"
2493,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2493&type=card","Arnjlot's Ascent","Enchantment"
4207,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4207&type=card","Arrogant Vampire","Creature - Vampire (4/3)"
1036,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1036&type=card","Artifact Possession","Enchantment - Aura"
1066,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1066&type=card","Artifact Ward","Enchantment - Aura"
995,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=995&type=card","Ashnod's Battle Gear","Artifact"
3527,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3527&type=card","Asmira, Holy Avenger","Legendary Creature - Human Cleric (2/3)"
3961,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3961&type=card","Aspect of Wolf","Enchantment - Aura"
4208,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4208&type=card","Assassin's Blade","Instant"
3478,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3478&type=card","Auspicious Ancestor","Creature - Human Cleric (2/3)"
2607,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2607&type=card","Avalanche","Sorcery"
4481,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4481&type=card","Avizoa","Creature - Jellyfish (2/2)"
5110,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=5110&type=card","Awakening","Enchantment"
3099,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3099&type=card","Awesome Presence","Enchantment - Aura"
2868,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2868&type=card","Ayesha Tanaka","Legendary Creature - Human Artificer (2/2)"
3036,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3036&type=card","Aysen Abbey","Land"
3016,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3016&type=card","Aysen Highway","Enchantment"
3324,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3324&type=card","Azimaet Drake","Creature - Drake (1/3)"
1558,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1558&type=card","Backdraft","Instant"
1473,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1473&type=card","Backfire","Enchantment - Aura"
2936,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2936&type=card","Baki's Curse","Sorcery"
2550,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2550&type=card","Balduvian Bears","Creature - Bear (2/2)"
2495,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2495&type=card","Balduvian Shaman","Creature - Human Cleric Shaman (1/1)"
3162,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3162&type=card","Balduvian War-Makers","Creature - Human Barbarian (3/3)"
1828,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1828&type=card","Balm of Restoration","Artifact"
2610,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2610&type=card","Barbarian Guides","Creature - Human Barbarian (1/2)"
1516,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1516&type=card","Barbary Apes","Creature - Ape (2/2)"
3376,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3376&type=card","Barbed Foliage","Enchantment"
3274,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3274&type=card","Barbed-Back Wurm","Creature - Wurm (4/3)"
4507,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4507&type=card","Barishi","Creature - Elemental (4/3)"
3428,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3428&type=card","Barreling Attack","Instant"
4449,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4449&type=card","Barrow Ghoul","Creature - Zombie (4/4)"
3242,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3242&type=card","Basalt Golem","Artifact Creature - Golem (2/4)"
2399,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2399&type=card","Baton of Morale","Artifact"
997,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=997&type=card","Battering Ram","Artifact Creature - Construct (1/1)"
2665,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2665&type=card","Battle Cry","Instant"
2611,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2611&type=card","Battle Frenzy","Instant"
3325,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3325&type=card","Bay Falcon","Creature - Bird (1/1)"
4749,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4749&type=card","Bayou Dragonfly","Creature - Insect (1/1)"
3326,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3326&type=card","Bazaar of Wonders","World Enchantment"
3017,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3017&type=card","Beast Walkers","Creature - Human Beast Soldier (2/2)"
2841,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2841&type=card","Beasts of Bogardan","Creature - Beast (3/3)"
4570,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4570&type=card","Benalish Infantry","Creature - Human Soldier (1/3)"
4572,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4572&type=card","Benalish Missionary","Creature - Human Cleric (1/1)"
3479,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3479&type=card","Benevolent Unicorn","Creature - Unicorn (1/2)"
3528,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3528&type=card","Benthic Djinn","Creature - Djinn (5/3)"
3633,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3633&type=card","Betrayal","Enchantment - Aura"
4535,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4535&type=card","Betrothed of Fire","Enchantment - Aura"
3275,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3275&type=card","Binding Agony","Enchantment - Aura"
2911,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2911&type=card","Black Carriage","Creature - Horse (4/4)"
1401,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1401&type=card","Black Mana Battery","Artifact"
2666,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2666&type=card","Black Scarab","Enchantment - Aura"
2323,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2323&type=card","Black Ward","Enchantment - Aura"
3609,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3609&type=card","Blanket of Night","Enchantment"
1560,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1560&type=card","Blazing Effigy","Creature - Elemental (0/3)"
2667,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2667&type=card","Blessed Wine","Instant"
3429,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3429&type=card","Blind Fury","Instant"
3430,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3430&type=card","Blistering Barrier","Creature - Wall (5/2)"
2551,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2551&type=card","Blizzard","Enchantment"
26653,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=26653&type=card","Blizzard Elemental","Creature - Elemental (5/5)"
4804,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4804&type=card","Blood Frenzy","Instant"
2855,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2855&type=card","Blood of the Martyr","Instant"
6573,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=6573&type=card","Bloodcurdling Scream","Sorcery"
4508,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4508&type=card","Blossoming Wreath","Instant"
1402,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1402&type=card","Blue Mana Battery","Artifact"
2669,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2669&type=card","Blue Scarab","Enchantment - Aura"
2325,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2325&type=card","Blue Ward","Enchantment - Aura"
3683,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3683&type=card","Bogardan Phoenix","Creature - Phoenix (3/3)"
4538,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4538&type=card","Boiling Blood","Instant"
4450,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4450&type=card","Bone Dancer","Creature - Zombie (2/2)"
27245,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=27245&type=card","Bone Harvest","Instant"
3243,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3243&type=card","Bone Mask","Artifact"
2612,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2612&type=card","Bone Shaman","Creature - Giant Shaman (3/3)"
4429,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4429&type=card","Bösium Strip","Artifact"
5113,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=5113&type=card","Bottomless Pit","Enchantment"
2003,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2003&type=card","Bottomless Vault","Land"
4638,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4638&type=card","Bounty Hunter","Creature - Human Archer Minion (2/2)"
1803,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1803&type=card","Brainwash","Enchantment - Aura"
2613,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2613&type=card","Brand of Ill Omen","Enchantment - Aura"
3590,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3590&type=card","Brass-Talon Chimera","Artifact Creature - Chimera (2/2)"
2498,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2498&type=card","Breath of Dreams","Enchantment"
3278,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3278&type=card","Breathstealer","Creature - Nightstalker (2/2)"
3734,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3734&type=card","Breathstealer's Crypt","Enchantment"
3634,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3634&type=card","Breezekeeper","Creature - Djinn (4/4)"
4509,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4509&type=card","Briar Shield","Enchantment - Aura"
1475,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1475&type=card","Brine Hag","Creature - Hag (2/2)"
21099,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=21099&type=card","Broken Fall","Enchantment"
998,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=998&type=card","Bronze Tablet","Artifact"
3610,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3610&type=card","Brood of Cockroaches","Creature - Insect (1/1)"
5114,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=5114&type=card","Brush with Death","Sorcery"
3377,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3377&type=card","Brushwagg","Creature - Brushwagg (3/2)"
6566,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=6566&type=card","Brutal Nightstalker","Creature - Nightstalker (3/2)"
4430,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4430&type=card","Bubble Matrix","Artifact"
3431,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3431&type=card","Builder's Bane","Sorcery"
3658,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3658&type=card","Bull Elephant","Creature - Elephant (4/4)"
5115,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=5115&type=card","Bullwhip","Artifact"
4331,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4331&type=card","Burning Cloak","Sorcery"
3432,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3432&type=card","Burning Palm Efreet","Creature - Efreet (2/2)"
3433,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3433&type=card","Burning Shield Askari","Creature - Human Knight (2/2)"
2440,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2440&type=card","Burnt Offering","Instant"
21168,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=21168&type=card","Cackling Fiend","Creature - Zombie (2/1)"
3529,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3529&type=card","Cadaverous Bloom","Enchantment"
5117,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=5117&type=card","Calming Licid","Creature - Licid (2/2)"
971,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=971&type=card","Camel","Creature - Camel (0/1)"
740,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=740&type=card","Camouflage","Instant"
3378,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3378&type=card","Canopy Dragon","Creature - Dragon (4/4)"
4806,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4806&type=card","Canyon Drake","Creature - Drake (1/2)"
4250,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4250&type=card","Capricious Sorcerer","Creature - Human Wizard (1/1)"
3190,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3190&type=card","Carrier Pigeons","Creature - Bird (1/1)"
3280,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3280&type=card","Carrion","Instant"
4639,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4639&type=card","Carrionette","Creature - Skeleton (1/1)"
3067,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3067&type=card","Casting of Bones","Enchantment - Aura"
3037,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3037&type=card","Castle Sengir","Land"
3281,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3281&type=card","Catacomb Dragon","Creature - Dragon (4/4)"
21143,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=21143&type=card","Catastrophe","Sorcery"
1699,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1699&type=card","Cathedral of Serra","Land"
1786,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1786&type=card","Cave People","Creature - Human (1/4)"
1562,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1562&type=card","Caverns of Despair","World Enchantment"
2027,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2027&type=card","Celestial Prism","Artifact"
2913,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2913&type=card","Cemetery Gate","Creature - Wall (0/5)"
3328,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3328&type=card","Cerulean Wyvern","Creature - Drake (3/3)"
2937,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2937&type=card","Chain Stasis","Instant"
2997,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2997&type=card","Chandler","Legendary Creature - Human Rogue (3/3)"
5121,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=5121&type=card","Change of Heart","Instant"
3434,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3434&type=card","Chaos Charm","Instant"
3167,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3167&type=card","Chaos Harlequin","Creature - Human (2/4)"
2614,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2614&type=card","Chaos Lord","Creature - Human (7/7)"
2615,"https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2615&type=card","Chaos Moon","Enchantment"
